title,division,department,salary
Pt Server-Restaurant,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,2302
Temp Skills-To-Employment,Skills to Employment,Skills to Employment,2299
Adjunct - Respiratory Therapy,Allied Health,Allied Health,2298
ICCAC Staff,ICCAC,ICCAC,2288
Office Assistant,Linn County Regional Center,Linn County Regional Center,2273
PT Bartender,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,2273
Recreation Associate,Dean of Students Office,Dean of Students Office,2241
PT Laundry Supervisor,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,2240
Office Clerk,Vinton Center,Vinton Center,2230
Recreation Associate,Dean of Students Office,Dean of Students Office,2189
PT Cafe Cashier,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,2185
Recreation Associate,Athletics,Athletics,2162
Grounds Worker,Facilities & Security,Facilities & Security,2160
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,2155
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,2154
KCCK Intern,KCCK-FM Radio Station,KCCK-FM Radio Station,2150
Ag Associate-Kennel,Agricultural Science,Agricultural Science,2150
PT Bartender,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,2141
Office Clerk,Business and Information Tech,Business and Information Tech,2140
