title,division,department,salary
Adjunct - Arts & Humanities,Arts/Humanities,Arts/Humanities,5063
Work Study Agri Science,Agricultural Science,Agricultural Science,5045
Adjunct - ESL,International Programs,International Programs,5043
Academic Advisor,Academic Advising,Academic Advising,5042
Adjunct - ESL,International Programs,International Programs,5024
Adjunct - Iowa City Campus,Iowa City Campus,Iowa City Campus,5024
Adjunct - Nursing Assoc. Degree,Nursing Programs,Nursing Programs,5020
PT Guest Room Attendant,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,5011
Adjunct - Guided Self-Study,Distance Learning,Distance Learning,5000
Adjunct - Arts & Humanities,Arts/Humanities,Arts/Humanities,4993
Custodian,Facilities & Security,Facilities & Security,4962
Farm Technician,Agricultural Science,Agricultural Science,4962
Simulation Facilitator,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,4949
Grounds Worker,Facilities & Security,Facilities & Security,4919
ICCAC Staff,ICCAC,ICCAC,4915
PT Banquet Server,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,4911
Sales Associate-Iowa City,Bookstore,Bookstore,4899
Sales Associate-Main Campus,Bookstore,Bookstore,4886
Adjunct - Nursing Assoc. Degree,Nursing Programs,Nursing Programs,4880
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,4868
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,4866
Pt Banquet Set Up,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,4859
Library Associate,Iowa City Campus,Iowa City Campus,4843
Temp - Athletics,Athletics,Athletics,4808
Temp Skills-To-Employment,Skills to Employment,Skills to Employment,4800
Guest Service Representative,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,4786
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,4750
Library Associate,Library Services,Library Services,4744
Adjunct - Dental Hygiene,Allied Health,Allied Health,4741
Sales Associate-Main Campus,Bookstore,Bookstore,4690
Adjunct - Dental Hygiene,Allied Health,Allied Health,4663
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,4662
Assistant Coach-Women's Volleyball,Athletics,Athletics,4656
Ag Associate-Greenhouse,Agricultural Science,Agricultural Science,4652
Work Study Learning Services,Learning Services,Learning Services,4649
Pt Server-Restaurant,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,4642
Catering Assistant,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,4610
Office Clerk,Student Life,Student Life,4603
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,4600
Adjunct - Nursing Assoc. Degree,Nursing Programs,Nursing Programs,4600
PT Cafe Line Cook,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,4592
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,4590
Student Support Specialist,Enrollment Management,Enrollment Management,4573
Program Assistant,Learning Services,Learning Services,4551
Tutor - Walk-In,Learning Services,Learning Services,4507
Program Assistant,Learning Services,Learning Services,4505
Work Study - Financial Aid/Registrar,Enrollment Management,Enrollment Management,4502
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,4500
PT Banquet Server,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,4489
Diesel Technologies,Agricultural Science,Agricultural Science,4480
Farm Technician,Agricultural Science,Agricultural Science,4476
Work Study Info Technologies,IT Services,IT Services,4468
Farm Technician,Agricultural Science,Agricultural Science,4458
IEC Associate,Finance,Finance,4447
Temp - Athletics,Athletics,Athletics,4440
Adjunct - English Education,Communication/English/Media,Communication/English/Media,4420
Ag Associate-Greenhouse,Agricultural Science,Agricultural Science,4406
PT Banquet Server,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,4387
Adjunct - Respiratory Therapy,Allied Health,Allied Health,4384
Horticulture Intern,Agricultural Science,Agricultural Science,4369
PT Guest Room Attendant,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,4369
Promotional Assistant,Jones County Regional Center,Jones County Regional Center,4348
Work Study - Financial Aid/Registrar,Enrollment Management,Enrollment Management,4333
Test Center Associate,Learning Services,Learning Services,4323
Lab Associate,IT Services,IT Services,4319
Adjunct - English Education,Communication/English/Media,Communication/English/Media,4317
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,4283
Esl Instructor,Secondary Programs,Secondary Programs,4263
Adjunct - Nursing Assoc. Degree,Nursing Programs,Nursing Programs,4239
Adjunct - Nursing Assoc. Degree,Nursing Programs,Nursing Programs,4239
Work Study Ind Technology,Industrial Technologies,Industrial Technologies,4239
Esl Instructor,Secondary Programs,Secondary Programs,4237
Pt Greeter,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,4228
Grounds Worker,Facilities & Security,Facilities & Security,4195
Office Clerk,Iowa City Campus,Iowa City Campus,4186
Adjunct - Arts & Humanities,Arts/Humanities,Arts/Humanities,4165
PT Bell Stand,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,4163
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,4143
PT Bakery Line Cook,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,4142
Work Study Ind Technology,Industrial Technologies,Industrial Technologies,4139
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,4130
PT Banquet Server,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,4118
Pt Cafe Steward,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,4100
Adjunct - Nursing Assoc. Degree,Nursing Programs,Nursing Programs,4066
Lead Technician,Arts/Humanities,Arts/Humanities,4065
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,4063
Adjunct - Guided Self-Study,Distance Learning,Distance Learning,4053
Adjunct - Nursing Assoc. Degree,Nursing Programs,Nursing Programs,4020
Office Clerk,Business and Information Tech,Business and Information Tech,4005
Room INSPECTOR,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,4001
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,3995
Adjunct - Guided Self-Study,Distance Learning,Distance Learning,3990
Department Coordinator,Facilities & Security,Facilities & Security,3986
ICCAC Staff,ICCAC,ICCAC,3969
ICCAC Staff,ICCAC,ICCAC,3967
Workstudy,Financial Aid,Financial Aid,3964
Adjunct - Dental Hygiene,Allied Health,Allied Health,3951
Adjunct - Iowa City Campus,Iowa City Campus,Iowa City Campus,3940
WA-Arts/Science Onsite Bus/Ed/Criminal,Washington Center,Washington Center,3940
